"Genes","Rank"
"ITGAL",812
"C22orf33",811
"RALGDS",811
"X5.Sep",810
"ID1",810
"TSR2",809
"CYFIP2",809
"GUCA1A",808
"CELF2",808
"LOC100190939",807
"PIPOX",807
"ARHGDIB",806
"ARHGEF26",806
"TUBB6",805
"NDST3",805
"PXMP2",804
"NAGPA",804
"ZMAT4",803
"KCNK4",803
"SLC16A5",802
"CSRNP3",802
"CREB3L1",801
"AK4",801
"C2orf69",800
"ZNF544",800
"VCAN",799
"NIFK",799
"MEP1A",798
"HPGD",798
"CYB5R4",797
"RAMP1",797
"SEL1L2",796
"FBXO25",796
"RPS6KC1",795
"CLEC4F",795
"MIR487B",794
"AGO1",794
"SCD",793
"WRB",792
"AGBL2",792
"CDON",791
"DUOX2",791
"SP1",790
"CTD.2547E10.2.1",790
"PCDHGA8",789
"RP11.252A24.7",789
"GPX5",788
"MAGI2",788
"COX6C",787
"HSPD1",787
"PDZD3",786
"EIF3B",786
"EPS8L2",785
"FGFBP3",785
"CA8",784
"C1R",784
"C7orf58",783
"ATG2B",783
"EPHA6",782
"C14orf182",782
"ZNF653",781
"GNAI1",781
"SLC9A9",780
"TOMM5",780
"C1QTNF8",779
"PIBF1",779
"RBM24",778
"ATAD1",778
"LRRC66",777
"ADCK3",777
"RCHY1",776
"FKTN",776
"KHDRBS1",775
"DDX10",775
"RAD54L2",774
"GPR25",773
"CLPP",773
"MIR505",772
"AHI1",772
"EPN3",771
"RPS28",771
"RNF126P1",770
"C2CD4B",770
"CDH12",769
"CCDC42B",769
"MRPL23",768
"SBSN",767
"EGLN2",767
"RAET1E",766
"CWC25",766
"TRIM61",765
"THAP5",765
"TPD52L2",764
"ARAF",763
"MTMR1",763
"PPP1R14A",762
"LRCH4",762
"SYP",761
"ATP5S",761
"UCHL1",760
"S100P",760
"RPS24",759
"WDR93",759
"OR1C1",758
"GLTPD2",758
"CAPN12",757
"THYN1",757
"C10orf104",756
"NELL2",756
"C1QTNF4",755
"CNOT4",755
"CLASP1",754
"GJA3",754
"C5orf30",753
"LGR5",753
"MIA3",752
"ERGIC1",752
"C10orf96",751
"IQUB",751
"C17orf105",750
"NHLRC2",750
"POU2F1",749
"ATP1B3",749
"GBF1",748
"BOC",748
"OR2T34",747
"TFE3",747
"ANKRD34C",746
"JADE1",746
"SNORD116.2",745
"SP100",745
"DCC",744
"GCLC",744
"C16orf86",743
"AKT1",743
"PIN4",742
"ARMC7",742
"CAPRIN1",741
"ELP2",741
"RALYL",740
"GRWD1",740
"GSS",739
"PRKCA",738
"UGT2A3",738
"HOXB6",737
"BIK",736
"POLRMT",736
"C17orf28",735
"LINC00634",735
"FAM89A",734
"GSK3A",734
"CRNKL1",733
"SCIMP",733
"TMEM188",732
"TMEM19",732
"REPS1",731
"NT5DC3",731
"MAOB",730
"IL16",730
"CDKN2A",729
"TCEB1",729
"FBLN5",728
"RPL11",728
"ADAMTS1",727
"MRPL52",727
"ITGB3",726
"THAP3",726
"WNT10B",725
"CHRM1",725
"PSCA",724
"C1orf204",724
"LMOD1",723
"SRCRB4D",723
"SEMA5B",722
"MAP2K7",722
"KRT28",721
"ARL6",721
"ENDOD1",720
"OLFM4",720
"SNORD115.8",719
"REG1A",719
"GPRC5C",718
"HOXA11",718
"INS.IGF2",717
"GLTSCR1L",717
"OLFM3",716
"SERPINB3",716
"SULT1C4",715
"BTBD7",715
"GHRL",714
"CTBP1",714
"PCBP3",713
"DDB2",713
"MIR377",712
"PYROXD2",712
"KCNG3",711
"CDC45",711
"LOC100302401",710
"MFN1",710
"ARPM1",709
"CYP3A5",709
"GABBR2",708
"UBR2",708
"PPM1L",707
"NHLRC1",707
"TNR",706
"HABP2",706
"PRG3",705
"C6orf58",705
"SHH",704
"NUDCD2",704
"ATAD5",703
"BPTF",703
"ZBTB39",702
"BBS12",702
"IL1R1",701
"PDK1",701
"ERCC6L",700
"IQCA1",700
"MYLK4",699
"PVRIG",699
"IMMT",698
"STX3",698
"CDYL",697
"CEACAM6",697
"HCN4",696
"CDK3",696
"SLC29A1",695
"SBF2",695
"C16orf11",694
"FOXD4L6",694
"SLC16A12",693
"TMED9",693
"NUDT3",692
"CDNF",691
"CLIP2",691
"C1orf38",690
"CXCL1",690
"FBXO44",689
"CHKB.CPT1B",688
"SOWAHA",688
"KIAA0748",687
"HPCAL1",687
"LALBA",686
"AFTPH",686
"TMEM187",685
"CSNK2A2",685
"BMP4",684
"HELZ2",684
"BTLA",683
"MGMT",683
"ALPK3",682
"MYO1B",682
"CYP1A1",681
"EFCAB2",681
"HIST2H2BA",680
"APEX2",680
"NOX1",679
"FBXO33",679
"LRRC17",678
"FAM208A",678
"SLC39A6",677
"STAT1",677
"C8orf48",676
"SBK1",676
"ST6GALNAC2",675
"PLS3",675
"B3GALNT2",674
"TTC12",674
"NAALADL1",673
"SNORA67",673
"HPRT1",672
"VNN1",672
"TMEM170A",671
"KRT4",671
"RBM20",670
"ABCA5",670
"NOTCH3",669
"CRBN",669
"LRRC8E",668
"GPR27",668
